region,megalpha
unknown,0.0
bankssts,0.33940002
caudalanteriorcingulate,0.17210498
caudalmiddlefrontal,0.21096417
cuneus,0.42327237
entorhinal,0.20268749
fusiform,0.3271923
inferiorparietal,0.36409962
inferiortemporal,0.30679196
isthmuscingulate,0.26500952
lateraloccipital,0.3838526
lateralorbitofrontal,0.21757728
lingual,0.35500178
medialorbitofrontal,0.1857318
middletemporal,0.30817792
parahippocampal,0.318048
paracentral,0.29057974
parsopercularis,0.22726226
parsorbitalis,0.205437
parstriangularis,0.21461688
pericalcarine,0.40054607
postcentral,0.31032804
posteriorcingulate,0.23263463
precentral,0.26747593
precuneus,0.36445525
rostralanteriorcingulate,0.14805126
rostralmiddlefrontal,0.19185714
superiorfrontal,0.20464197
superiorparietal,0.37183717
superiortemporal,0.30095902
supramarginal,0.32715484
frontalpole,0.18128875
temporalpole,0.16658704
transversetemporal,0.3251972
insula,0.2672371
